"","department","education","gender","recruitment_channel","no_of_trainings","age","previous_year_rating","length_of_service","awards_won.","avg_training_score","is_promoted"
"11255","Procurement","Master's & above","m","sourcing",1,47,3,4,"Yes",69,"Non-Promotion"
"11257","Procurement","Bachelor's","m","other",1,31,3,7,"No",71,"Non-Promotion"
"11259","Sales & Marketing","Bachelor's","m","other",1,41,1,7,"No",46,"Non-Promotion"
"11260","Technology","Bachelor's","m","other",1,38,1,3,"No",80,"Non-Promotion"
"11264","Finance","Bachelor's","m","other",1,36,3,6,"No",62,"Non-Promotion"
"11266","Technology","Master's & above","m","other",1,31,4,2,"No",79,"Non-Promotion"
"11267","Sales & Marketing","Bachelor's","m","sourcing",3,32,3,5,"No",51,"Non-Promotion"
"11268","Analytics","Bachelor's","m","sourcing",2,27,4,3,"No",82,"Non-Promotion"
"11269","Sales & Marketing","Bachelor's","m","referred",1,45,2,18,"No",50,"Non-Promotion"
"11271","Technology","Bachelor's","m","other",2,34,4,7,"No",81,"Non-Promotion"
"11276","Operations","Bachelor's","m","other",1,44,5,14,"No",61,"Non-Promotion"
"11277","Sales & Marketing","Master's & above","m","sourcing",1,41,5,9,"No",54,"Non-Promotion"
"11278","Sales & Marketing","Bachelor's","m","other",1,45,5,6,"No",89,"Promotion"
"11279","Operations","Bachelor's","m","referred",1,33,3,3,"No",60,"Non-Promotion"
"11285","R&D","Bachelor's","m","other",1,33,5,5,"No",83,"Non-Promotion"
"11286","Sales & Marketing","Bachelor's","m","sourcing",1,32,5,2,"Yes",60,"Promotion"
"11296","Operations","Bachelor's","f","sourcing",1,37,3,4,"No",54,"Non-Promotion"
"11303","Operations","Bachelor's","f","sourcing",1,30,4,7,"No",57,"Non-Promotion"
"11306","HR","Master's & above","m","other",1,40,5,5,"No",49,"Non-Promotion"
"11308","Procurement","Bachelor's","m","other",1,44,4,7,"No",66,"Non-Promotion"
"11309","HR","Bachelor's","f","sourcing",1,35,1,8,"No",51,"Non-Promotion"
"11310","Sales & Marketing","Master's & above","m","sourcing",2,36,5,10,"No",65,"Promotion"
"11313","Procurement","Bachelor's","f","sourcing",2,26,3,3,"No",67,"Non-Promotion"
"11315","Operations","Bachelor's","f","other",1,35,4,8,"No",61,"Non-Promotion"
"11316","Sales & Marketing","Bachelor's","m","other",1,38,1,10,"No",51,"Non-Promotion"
"11317","Procurement","Bachelor's","m","other",1,27,3,4,"No",66,"Non-Promotion"
"11321","Analytics","Bachelor's","f","other",2,28,5,5,"No",85,"Non-Promotion"
"11322","HR","Bachelor's","f","other",1,34,4,3,"No",52,"Non-Promotion"
"11323","Operations","Bachelor's","f","sourcing",2,29,4,2,"No",56,"Non-Promotion"
"11324","Sales & Marketing","Bachelor's","m","other",1,49,2,6,"No",50,"Non-Promotion"
"11328","Sales & Marketing","Master's & above","f","sourcing",1,49,2,6,"No",49,"Non-Promotion"
"11330","Operations","Bachelor's","m","sourcing",1,35,2,9,"No",58,"Non-Promotion"
"11332","Analytics","Master's & above","m","other",1,43,5,14,"No",83,"Non-Promotion"
"11334","Operations","Bachelor's","m","other",1,31,5,7,"No",57,"Non-Promotion"
"11335","Procurement","Bachelor's","f","sourcing",1,30,4,3,"No",70,"Non-Promotion"
"11345","Operations","Bachelor's","f","sourcing",2,33,3,9,"No",62,"Non-Promotion"
"11346","Operations","Master's & above","f","referred",1,35,5,8,"No",61,"Non-Promotion"
"11347","Sales & Marketing","Bachelor's","m","other",1,32,3,3,"No",63,"Promotion"
"11349","Procurement","Bachelor's","f","other",1,28,3,2,"No",69,"Non-Promotion"
"11351","Operations","Bachelor's","m","sourcing",1,32,4,8,"No",58,"Non-Promotion"
"11355","Procurement","Bachelor's","m","other",1,27,3,3,"No",68,"Non-Promotion"
"11358","Sales & Marketing","Bachelor's","m","other",1,41,3,10,"No",47,"Non-Promotion"
"11359","Procurement","Master's & above","f","sourcing",1,43,4,4,"No",67,"Non-Promotion"
"11364","Procurement","Bachelor's","m","sourcing",1,38,3,4,"No",69,"Non-Promotion"
"11367","Procurement","Bachelor's","f","other",2,33,3,8,"No",74,"Non-Promotion"
"11373","Technology","Master's & above","f","other",1,40,1,3,"No",81,"Non-Promotion"
"11375","Analytics","Bachelor's","m","sourcing",1,30,5,3,"No",82,"Non-Promotion"
"11379","Technology","Master's & above","f","other",3,40,5,10,"No",82,"Non-Promotion"
"11381","Analytics","Bachelor's","m","sourcing",1,30,2,4,"No",82,"Non-Promotion"
"11383","Sales & Marketing","Bachelor's","m","other",1,30,5,3,"No",51,"Non-Promotion"
"11384","Operations","Bachelor's","f","sourcing",1,36,4,2,"No",58,"Non-Promotion"
"11385","Sales & Marketing","Master's & above","m","sourcing",3,49,2,19,"No",49,"Non-Promotion"
"11392","Technology","Bachelor's","m","sourcing",2,37,3,9,"No",85,"Non-Promotion"
"11394","Technology","Master's & above","m","other",1,36,5,3,"No",85,"Promotion"
"11397","R&D","Bachelor's","m","other",1,37,2,4,"No",88,"Non-Promotion"
"11399","Procurement","Bachelor's","f","other",1,34,5,6,"No",67,"Non-Promotion"
"11400","Operations","Master's & above","m","sourcing",1,36,5,8,"No",58,"Non-Promotion"
"11401","Operations","Master's & above","m","sourcing",1,33,5,6,"No",58,"Non-Promotion"
"11407","Finance","Bachelor's","m","other",1,35,1,9,"No",65,"Non-Promotion"
"11408","Operations","Master's & above","f","sourcing",1,46,4,5,"No",62,"Promotion"
"11411","Procurement","Master's & above","m","other",1,58,5,15,"No",70,"Non-Promotion"
"11414","Procurement","Bachelor's","m","other",1,30,3,5,"No",69,"Non-Promotion"
"11415","Technology","Master's & above","m","other",1,31,3,6,"No",80,"Non-Promotion"
"11422","Sales & Marketing","Bachelor's","m","other",1,37,3,10,"No",49,"Non-Promotion"
"11426","Procurement","Bachelor's","f","sourcing",1,39,4,6,"No",72,"Non-Promotion"
"11428","Sales & Marketing","Bachelor's","m","sourcing",3,37,1,8,"No",55,"Non-Promotion"
"11433","Operations","Bachelor's","f","sourcing",1,33,3,6,"No",60,"Non-Promotion"
"11436","Operations","Below Secondary","m","sourcing",1,26,5,4,"No",64,"Non-Promotion"
"11437","Analytics","Bachelor's","m","other",1,38,3,4,"No",87,"Non-Promotion"
"11438","Legal","Master's & above","f","sourcing",1,55,3,23,"No",60,"Non-Promotion"
"11440","Operations","Master's & above","m","other",1,51,5,11,"Yes",65,"Non-Promotion"
"11441","Sales & Marketing","Master's & above","f","sourcing",1,34,3,7,"No",50,"Non-Promotion"
"11447","Procurement","Bachelor's","f","other",1,30,1,4,"No",65,"Non-Promotion"
"11453","Sales & Marketing","Bachelor's","m","other",1,27,5,2,"No",48,"Non-Promotion"
"11457","Operations","Bachelor's","f","sourcing",1,32,5,10,"No",58,"Non-Promotion"
"11460","Operations","Master's & above","f","sourcing",1,40,5,2,"No",63,"Non-Promotion"
"11463","HR","Master's & above","m","other",1,41,4,7,"No",51,"Non-Promotion"
"11464","Procurement","Bachelor's","f","other",1,32,4,10,"No",69,"Non-Promotion"
"11466","Technology","Master's & above","m","other",1,42,3,8,"No",76,"Non-Promotion"
"11471","Operations","Master's & above","m","sourcing",1,38,2,9,"No",61,"Non-Promotion"
"11474","Operations","Master's & above","m","sourcing",1,34,5,7,"No",66,"Non-Promotion"
"11475","Sales & Marketing","Bachelor's","m","other",1,26,5,2,"No",49,"Non-Promotion"
"11476","Sales & Marketing","Bachelor's","m","other",1,28,5,7,"No",50,"Non-Promotion"
"11478","Operations","Bachelor's","m","sourcing",1,34,4,5,"No",61,"Non-Promotion"
"11481","Sales & Marketing","Bachelor's","m","other",1,26,3,2,"No",50,"Non-Promotion"
"11483","Sales & Marketing","Bachelor's","m","sourcing",1,23,1,2,"No",55,"Non-Promotion"
"11486","Sales & Marketing","Bachelor's","m","referred",1,45,5,15,"No",49,"Non-Promotion"
"11487","Technology","Bachelor's","f","referred",1,31,3,7,"No",79,"Non-Promotion"
"11488","Finance","Bachelor's","m","sourcing",2,49,3,8,"No",60,"Non-Promotion"
"11491","Operations","Bachelor's","m","other",1,27,5,3,"No",58,"Promotion"
"11492","Operations","Master's & above","f","sourcing",1,34,5,6,"No",60,"Promotion"
"11494","Analytics","Bachelor's","f","other",1,30,5,2,"No",80,"Non-Promotion"
"11497","Technology","Bachelor's","f","sourcing",1,27,3,3,"No",81,"Non-Promotion"
"11498","Operations","Bachelor's","f","sourcing",2,30,5,3,"No",59,"Non-Promotion"
"11499","Operations","Bachelor's","m","other",1,46,3,2,"No",60,"Non-Promotion"
"11501","Operations","Master's & above","f","other",2,42,4,17,"No",58,"Non-Promotion"
"11510","Sales & Marketing","Bachelor's","m","other",1,30,5,2,"No",51,"Non-Promotion"
"11513","Sales & Marketing","Bachelor's","m","other",1,27,3,2,"No",52,"Non-Promotion"
"11515","Sales & Marketing","Bachelor's","m","other",1,20,3,2,"No",51,"Non-Promotion"
"11517","Procurement","Master's & above","f","sourcing",1,39,3,10,"No",70,"Non-Promotion"
"11518","Technology","Master's & above","f","sourcing",1,37,4,3,"No",78,"Promotion"
"11519","Analytics","Bachelor's","m","other",3,30,5,3,"No",85,"Non-Promotion"
"11521","Operations","Bachelor's","m","sourcing",1,32,3,6,"No",61,"Non-Promotion"
"11523","R&D","Bachelor's","m","sourcing",2,35,4,7,"No",85,"Non-Promotion"
"11525","Analytics","Master's & above","m","sourcing",2,43,3,17,"No",82,"Non-Promotion"
"11526","Analytics","Master's & above","m","other",1,33,3,4,"No",87,"Promotion"
"11527","Sales & Marketing","Master's & above","m","other",2,35,1,5,"No",51,"Non-Promotion"
"11530","Operations","Bachelor's","m","other",1,35,2,2,"No",60,"Non-Promotion"
"11531","Operations","Bachelor's","f","other",3,34,5,10,"No",60,"Non-Promotion"
"11535","Procurement","Bachelor's","m","sourcing",1,52,3,5,"No",73,"Non-Promotion"
"11537","Analytics","Master's & above","m","other",2,32,4,6,"Yes",91,"Promotion"
"11538","Analytics","Bachelor's","m","sourcing",1,29,3,3,"No",88,"Non-Promotion"
"11541","Operations","Bachelor's","m","sourcing",1,37,3,4,"No",94,"Promotion"
"11544","Sales & Marketing","Master's & above","f","sourcing",1,39,2,12,"No",49,"Non-Promotion"
"11545","R&D","Bachelor's","m","sourcing",1,28,3,5,"No",84,"Non-Promotion"
"11547","Sales & Marketing","Bachelor's","m","referred",1,37,4,5,"No",50,"Non-Promotion"
"11548","Technology","Bachelor's","m","other",1,29,3,4,"No",76,"Non-Promotion"
"11550","Operations","Bachelor's","f","sourcing",1,34,5,2,"No",58,"Non-Promotion"
"11551","Procurement","Bachelor's","m","other",1,50,2,6,"No",69,"Non-Promotion"
"11553","Analytics","Bachelor's","m","sourcing",1,27,1,3,"No",85,"Non-Promotion"
"11554","Sales & Marketing","Bachelor's","m","sourcing",1,27,5,4,"No",51,"Non-Promotion"
"11559","Technology","Bachelor's","m","sourcing",1,32,1,2,"No",77,"Non-Promotion"
"11560","Operations","Master's & above","m","sourcing",1,43,4,11,"No",59,"Non-Promotion"
"11563","Sales & Marketing","Bachelor's","f","other",1,27,5,4,"No",52,"Non-Promotion"
"11564","Sales & Marketing","Master's & above","m","sourcing",1,45,5,7,"No",51,"Non-Promotion"
"11566","Operations","Master's & above","m","other",1,47,3,8,"No",59,"Non-Promotion"
"11568","Technology","Master's & above","f","sourcing",1,32,4,5,"No",79,"Non-Promotion"
"11569","Technology","Master's & above","m","other",1,35,3,2,"No",97,"Promotion"
"11571","Operations","Bachelor's","f","other",2,32,4,2,"No",57,"Non-Promotion"
"11575","HR","Bachelor's","m","other",1,29,5,2,"No",50,"Non-Promotion"
"11576","Sales & Marketing","Master's & above","m","other",1,32,3,6,"No",50,"Non-Promotion"
"11578","Operations","Bachelor's","f","sourcing",2,39,5,5,"No",57,"Non-Promotion"
"11583","Operations","Master's & above","f","sourcing",1,31,4,2,"No",59,"Non-Promotion"
"11584","R&D","Bachelor's","m","other",1,32,2,4,"No",86,"Non-Promotion"
"11587","Procurement","Master's & above","m","other",1,44,3,12,"No",76,"Non-Promotion"
"11589","Sales & Marketing","Master's & above","m","sourcing",1,34,5,3,"No",49,"Non-Promotion"
"11590","Operations","Bachelor's","f","sourcing",1,42,5,6,"No",58,"Non-Promotion"
"11594","Operations","Bachelor's","f","other",2,32,5,5,"No",60,"Non-Promotion"
"11597","HR","Bachelor's","f","other",1,34,3,5,"Yes",46,"Non-Promotion"
"11598","Operations","Master's & above","f","other",1,31,5,4,"No",58,"Non-Promotion"
"11599","Sales & Marketing","Master's & above","m","other",1,42,5,2,"No",47,"Non-Promotion"
"11600","Technology","Bachelor's","f","other",1,27,5,2,"No",80,"Non-Promotion"
"11606","Analytics","Bachelor's","f","other",1,32,5,8,"No",88,"Non-Promotion"
"11607","Legal","Bachelor's","m","sourcing",1,35,1,7,"No",63,"Non-Promotion"
"11608","Analytics","Master's & above","m","sourcing",2,31,3,3,"No",80,"Non-Promotion"
"11611","Analytics","Bachelor's","m","sourcing",3,29,3,3,"No",87,"Non-Promotion"
"11612","Operations","Bachelor's","m","sourcing",1,37,5,7,"No",57,"Non-Promotion"
"11613","Operations","Bachelor's","f","other",1,27,3,4,"No",63,"Non-Promotion"
"11614","Procurement","Bachelor's","m","other",1,28,2,3,"No",68,"Non-Promotion"
"11615","Sales & Marketing","Master's & above","m","other",1,46,5,2,"No",57,"Non-Promotion"
"11616","Operations","Bachelor's","m","sourcing",1,27,4,3,"No",61,"Non-Promotion"
"11617","Sales & Marketing","Bachelor's","f","sourcing",1,31,3,4,"No",51,"Non-Promotion"
"11621","Operations","Bachelor's","m","other",1,54,5,11,"No",56,"Non-Promotion"
"11622","Operations","Bachelor's","f","sourcing",1,37,5,7,"No",60,"Non-Promotion"
"11626","Sales & Marketing","Bachelor's","m","other",1,28,3,3,"No",47,"Non-Promotion"
"11628","Sales & Marketing","Master's & above","m","other",2,30,1,8,"No",48,"Non-Promotion"
"11630","Sales & Marketing","Master's & above","m","other",1,49,4,19,"No",49,"Non-Promotion"
"11631","Analytics","Bachelor's","m","other",1,27,4,3,"No",83,"Non-Promotion"
"11634","Operations","Bachelor's","f","other",1,30,4,4,"No",59,"Non-Promotion"
"11635","Analytics","Bachelor's","m","other",1,27,3,4,"No",83,"Non-Promotion"
"11637","Legal","Bachelor's","f","other",1,27,3,2,"No",57,"Non-Promotion"
"11639","Technology","Bachelor's","m","other",1,28,5,3,"No",76,"Promotion"
"11643","Procurement","Bachelor's","f","other",1,27,1,5,"No",72,"Non-Promotion"
"11649","Sales & Marketing","Bachelor's","m","other",2,30,2,4,"No",41,"Non-Promotion"
"11650","R&D","Master's & above","m","other",2,37,3,2,"No",86,"Non-Promotion"
"11651","Analytics","Master's & above","m","other",1,40,5,6,"No",86,"Non-Promotion"
"11653","Operations","Bachelor's","f","other",1,27,3,2,"No",62,"Non-Promotion"
"11654","Operations","Master's & above","f","sourcing",1,36,3,9,"No",56,"Non-Promotion"
"11656","Finance","Bachelor's","f","other",1,42,5,9,"No",67,"Non-Promotion"
"11657","Technology","Bachelor's","m","sourcing",1,35,3,9,"No",78,"Non-Promotion"
"11666","Analytics","Bachelor's","m","other",1,29,5,2,"No",85,"Non-Promotion"
"11671","Procurement","Bachelor's","m","sourcing",1,32,4,6,"No",73,"Non-Promotion"
"11673","Technology","Bachelor's","m","sourcing",1,32,3,3,"No",78,"Non-Promotion"
"11675","Procurement","Master's & above","f","other",1,46,3,17,"No",67,"Non-Promotion"
"11676","Sales & Marketing","Bachelor's","m","other",4,29,1,2,"No",45,"Non-Promotion"
"11679","Procurement","Bachelor's","f","other",1,33,5,2,"No",69,"Promotion"
"11681","HR","Master's & above","m","other",1,36,3,9,"No",49,"Non-Promotion"
"11684","Operations","Bachelor's","m","other",1,43,1,6,"No",60,"Non-Promotion"
"11685","Sales & Marketing","Bachelor's","m","other",1,25,3,3,"No",46,"Non-Promotion"
"11687","Sales & Marketing","Master's & above","f","other",1,32,3,6,"No",48,"Non-Promotion"
"11690","Sales & Marketing","Bachelor's","m","sourcing",1,26,4,3,"No",47,"Non-Promotion"
"11694","Operations","Bachelor's","f","other",1,34,2,7,"No",61,"Non-Promotion"
"11695","Technology","Master's & above","m","other",1,39,2,4,"No",80,"Non-Promotion"
"11696","Analytics","Bachelor's","m","other",2,34,3,5,"No",79,"Non-Promotion"
"11702","Sales & Marketing","Bachelor's","f","other",1,29,5,4,"No",48,"Non-Promotion"
"11709","Sales & Marketing","Master's & above","m","other",1,53,3,6,"No",51,"Non-Promotion"
"11715","Technology","Bachelor's","m","other",1,33,3,6,"No",83,"Non-Promotion"
"11717","Operations","Bachelor's","f","other",1,27,4,4,"No",63,"Non-Promotion"
"11720","Procurement","Bachelor's","f","sourcing",1,33,3,9,"No",69,"Non-Promotion"
"11725","Sales & Marketing","Bachelor's","m","other",1,28,3,4,"No",55,"Non-Promotion"
"11727","Sales & Marketing","Bachelor's","f","sourcing",1,40,1,5,"No",52,"Non-Promotion"
"11728","Procurement","Bachelor's","f","other",2,38,4,4,"No",68,"Non-Promotion"
"11731","Sales & Marketing","Bachelor's","m","sourcing",2,33,1,8,"No",52,"Non-Promotion"
"11735","Sales & Marketing","Bachelor's","f","other",1,36,3,8,"No",47,"Non-Promotion"
"11736","Sales & Marketing","Bachelor's","m","referred",1,38,3,8,"No",52,"Non-Promotion"
"11738","Procurement","Bachelor's","m","sourcing",2,37,1,8,"No",71,"Non-Promotion"
"11740","Analytics","Bachelor's","m","other",1,34,1,3,"No",83,"Non-Promotion"
"11741","Sales & Marketing","Master's & above","m","other",2,39,1,8,"No",50,"Non-Promotion"
"11742","Analytics","Master's & above","m","sourcing",1,31,5,4,"No",87,"Non-Promotion"
"11745","Sales & Marketing","Master's & above","f","other",1,49,2,2,"No",53,"Non-Promotion"
"11746","Technology","Master's & above","m","other",1,50,3,5,"No",79,"Non-Promotion"
"11747","Analytics","Bachelor's","m","sourcing",1,28,3,3,"No",88,"Non-Promotion"
"11748","Technology","Bachelor's","m","other",1,38,1,3,"No",81,"Non-Promotion"
"11750","Sales & Marketing","Bachelor's","m","sourcing",1,33,2,9,"No",52,"Non-Promotion"
"11753","Procurement","Master's & above","f","sourcing",3,34,3,8,"No",66,"Non-Promotion"
"11754","Technology","Bachelor's","m","sourcing",1,31,4,3,"No",79,"Non-Promotion"
"11755","Sales & Marketing","Master's & above","m","other",1,43,3,7,"No",53,"Non-Promotion"
"11756","Procurement","Master's & above","f","other",1,37,4,8,"No",69,"Non-Promotion"
"11757","Operations","Master's & above","f","other",1,38,5,8,"No",64,"Promotion"
"11759","Procurement","Bachelor's","m","sourcing",2,30,3,5,"No",74,"Non-Promotion"
"11769","Sales & Marketing","Master's & above","m","sourcing",1,29,3,6,"No",51,"Non-Promotion"
"11773","Operations","Master's & above","m","other",1,40,2,15,"No",61,"Non-Promotion"
"11774","Sales & Marketing","Bachelor's","m","sourcing",1,60,3,8,"No",47,"Non-Promotion"
"11776","Operations","Bachelor's","f","sourcing",1,30,5,4,"No",57,"Non-Promotion"
"11778","Procurement","Bachelor's","m","other",2,34,3,4,"No",70,"Non-Promotion"
"11779","Sales & Marketing","Bachelor's","m","sourcing",1,31,3,4,"No",50,"Non-Promotion"
"11780","Operations","Master's & above","m","sourcing",2,40,5,9,"No",62,"Non-Promotion"
"11781","Analytics","Bachelor's","m","other",2,26,3,2,"No",86,"Non-Promotion"
"11782","Sales & Marketing","Bachelor's","m","other",4,33,5,6,"No",49,"Non-Promotion"
"11783","Sales & Marketing","Bachelor's","m","sourcing",1,28,4,3,"No",51,"Non-Promotion"
"11784","Sales & Marketing","Master's & above","m","sourcing",1,45,3,2,"No",50,"Non-Promotion"
"11785","Sales & Marketing","Bachelor's","m","sourcing",3,37,4,7,"No",45,"Non-Promotion"
"11786","Technology","Master's & above","m","other",1,51,1,19,"No",82,"Non-Promotion"
"11787","Sales & Marketing","Bachelor's","m","sourcing",3,36,1,7,"No",47,"Non-Promotion"
"11789","Sales & Marketing","Bachelor's","m","sourcing",1,31,3,6,"No",48,"Non-Promotion"
